id,TARGET
EK202310003556,130.6
EK202310170625,159.45
EK202310167359,144.15
EK202310118370,126.15
EK202320006361,139.8
EK202310003542,133.75
EK202310125266,133.8
EK202310144740,123.0
EK202310137443,136.35
EK202310159067,149.95
EK202310245067,128.8
EK202310240556,132.35
EK202310166743,142.55
EK202310247454,128.25
EK202310215702,171.2
EK202310142190,172.1
EK202310205417,139.0
EK202310119601,143.4
EK202310190356,124.85
EK202310158758,143.9
EK202310145496,127.4
EK202310164763,147.0
EK202310200188,134.7
EK202310238803,180.55
EK202320005607,151.0
EK202310225681,141.15
EK202310127174,134.3
EK202310204317,147.85
EK202310179355,118.5
EK202310176524,159.6
EK202310237228,134.1
EK202310172549,182.65
EK202310168863,128.3
EK202310185904,147.5
EK202310133615,174.45
EK202310122063,130.1
EK202310121770,143.25
EK202310125590,132.1
EK202310172269,135.9
EK202310147894,136.8
EK202310137986,133.45
EK202310150838,138.45
EK202310104915,147.4
EK202310170090,130.75
EK202310165637,128.3
EK202310134467,124.7
EK202310182637,169.85
EK202310112116,163.45
EK202310241220,156.35
EK202310103801,145.55
EK202310177448,116.75
EK202310157860,182.25
EK202310211985,122.05
EK202310232907,131.85
EK202310162917,145.95
EK202310211786,130.6
EK202310132171,148.55
EK202310153694,158.0
EK202310174960,154.05
EK202310121096,131.9
EK202310222475,123.85
EK202310146254,144.7
EK202310111466,136.35
EK202310004385,179.0
EK202310108961,124.35
EK202310203170,129.55
EK202310161424,165.5
EK202310206583,153.65
EK202310138840,131.35
EK202310221976,137.65
EK202310143972,139.75
EK202310175420,127.95
EK202310227655,146.55
EK202310163389,128.1
EK202310239480,134.05
EK202310146467,157.2
EK202310162597,148.55
EK202310194862,131.35
EK202310152448,153.25
EK202310245431,147.95
EK202310206822,185.5
EK202310166559,138.35
EK202310221701,142.7
EK202310231403,140.0
EK202310156027,128.55
EK202310135956,132.35
EK202310183176,125.6
EK202310206055,183.8
EK202310167360,143.75
EK202310142701,138.3
EK202310156629,186.65
EK202310241352,148.85
EK202310123587,145.9
EK202310003639,159.3
EK202310158269,127.8
EK202320007090,137.3
EK202310111707,142.05
EK202310104096,139.95
EK202310235404,127.15
EK202310108783,137.35
EK202310116298,116.5
EK202310156281,171.85
EK202310164483,134.2
EK202310108212,118.7
EK202310233950,141.95
EK202310157041,141.0
EK202310104522,128.05
EK202310175972,143.55
EK202310225965,135.25
EK202310138403,129.8
EK202310234452,126.1
EK202310104614,148.15
EK202310117970,132.95
EK202310128727,126.75
EK202310190230,131.0
EK202310201465,153.8
EK202310197534,188.4
EK202310171846,132.95
EK202310193751,156.5
EK202310242967,127.2
EK202310112852,160.25
EK202310132804,123.95
EK202310127612,148.6
EK202310136082,195.85
EK202310186665,155.3
EK202310156519,126.85
EK202310108430,133.8
EK202310164930,137.45
EK202310153971,166.15
EK202310129412,149.0
EK202310124383,121.8
EK202310215858,145.8
EK202310104131,145.45
EK202310185040,150.2
EK202310119251,153.75
EK202310191724,158.3
EK202310149922,127.0
EK202310176193,129.15
EK202310204311,152.8
EK202310248324,137.95
EK202310120496,133.8
EK202310233548,137.8
EK202310219178,139.3
EK202310114723,152.2
EK202310185832,158.4
EK202310106587,177.05
EK202310239252,130.45
EK202310208710,128.05
EK202310244056,117.1
EK202310223702,131.6
EK202310236969,127.1
EK202310196070,144.4
EK202310227710,132.5
EK202310119702,147.9
EK202310143351,145.95
EK202310144967,140.8
EK202310207097,141.95
EK202310193281,132.85
EK202310223068,132.45
EK202310158743,117.5
EK202310142353,137.0
EK202310154024,172.35
EK202310136326,136.15
EK202320006526,135.6
EK202310240160,124.15
EK202310230270,129.3
EK202310209591,127.75
EK202310201937,139.85
EK202310138686,140.8
EK202310125946,145.4
EK202310112949,134.8
EK202310128660,165.75
EK202310223565,149.35
EK202310155372,155.2
EK202310229467,135.5
EK202310232289,140.3
EK202310142439,153.9
EK202310128595,153.15
EK202310228661,130.05
EK202310220811,130.8
EK202310104677,137.35
EK202310108708,140.0
EK202310235044,133.15
EK202310141363,133.5
EK202310174855,154.9
EK202310154755,139.6
EK202310157326,135.5
EK202310228659,132.7
EK202310215026,169.95
EK202310177129,130.15
EK202310178830,173.3
EK202310222959,130.75
EK202320007347,131.85
EK202310153807,155.7
EK202310165563,142.2
EK202310240070,112.85
EK202310171642,132.85
EK202310221419,146.75
EK202310210258,135.0
EK202310108225,144.05
EK202310156515,136.65
EK202320006021,175.9
EK202310214746,169.65
EK202310166648,134.45
EK202310243041,147.55
EK202310227731,134.9
EK202310118513,122.85
EK202310240129,146.9
EK202310140813,138.35
EK202310181628,139.15
EK202310126085,126.5
EK202310246101,143.8
EK202310113312,140.95
EK202310217968,139.2
EK202310213114,127.45
